date,close,adj_close,volume
2000-01-03,10.03125,10.03125,37400
2000-01-04,9.625,9.625,88000
2000-01-05,9.5,9.5,262000
2000-01-06,9.15625,9.15625,170000
2000-01-07,9.0,9.0,154000
2000-01-10,9.0,9.0,20400
2000-01-11,9.375,9.375,51000
2000-01-12,9.65625,9.65625,37400
2000-01-13,9.84375,9.84375,28800
2000-01-14,9.53125,9.53125,24200
2000-01-18,9.59375,9.59375,34600
2000-01-19,9.625,9.625,63800
2000-01-20,9.59375,9.59375,52800
2000-01-21,9.46875,9.46875,40800
2000-01-24,9.84375,9.84375,96600
2000-01-25,9.625,9.625,32600
2000-01-26,9.65625,9.65625,24600
2000-01-27,9.40625,9.40625,38600
2000-01-28,9.4375,9.4375,21600
2000-01-31,9.3125,9.3125,28000
2000-02-01,8.96875,8.96875,26400
2000-02-02,9.0625,9.0625,19400
2000-02-03,9.3125,9.3125,37000
2000-02-04,9.375,9.375,35400
2000-02-07,9.28125,9.28125,30000
2000-02-08,9.1875,9.1875,69000
2000-02-09,9.03125,9.03125,55000
2000-02-10,9.03125,9.03125,34000
2000-02-11,8.96875,8.96875,49400
2000-02-14,8.9375,8.9375,85000
2000-02-15,8.96875,8.96875,550800
2000-02-16,8.90625,8.90625,475600
2000-02-17,8.96875,8.96875,41400
2000-02-18,8.90625,8.90625,35400
2000-02-22,8.875,8.875,70800
2000-02-23,9.125,9.125,478400
2000-02-24,9.34375,9.34375,136800
2000-02-25,8.96875,8.96875,18800
2000-02-28,9.28125,9.28125,27400
2000-02-29,9.6875,9.6875,41200
2000-03-01,9.71875,9.71875,54400
2000-03-02,9.65625,9.65625,17600
2000-03-03,9.5,9.5,17600
2000-03-06,9.46875,9.46875,1000
2000-03-07,9.1875,9.1875,33200
2000-03-08,9.15625,9.15625,31200
2000-03-09,9.375,9.375,14800
2000-03-10,9.375,9.375,24800
2000-03-13,9.4375,9.4375,15400
2000-03-14,9.4375,9.4375,28200
2000-03-15,9.40625,9.40625,45000
2000-03-16,10.125,10.125,136600
2000-03-17,10.0,10.0,116600
2000-03-20,9.78125,9.78125,60400
2000-03-21,9.5625,9.5625,38600
2000-03-22,9.8125,9.8125,31400
2000-03-23,9.6875,9.6875,54400
2000-03-24,9.53125,9.53125,15400
2000-03-27,9.5,9.5,59000
2000-03-28,9.40625,9.40625,23400
2000-03-29,9.84375,9.84375,88600
2000-03-30,10.0,10.0,111000
2000-03-31,9.875,9.875,196000
2000-04-03,10.0,10.0,38000
2000-04-04,10.0,10.0,84800
2000-04-05,10.375,10.375,46000
2000-04-06,10.28125,10.28125,26400
2000-04-07,10.375,10.375,140400
2000-04-10,10.09375,10.09375,21200
2000-04-11,10.03125,10.03125,23600
2000-04-12,10.1875,10.1875,9600
2000-04-13,10.4375,10.4375,48000
2000-04-14,10.1875,10.1875,38600
2000-04-17,10.25,10.25,19400
2000-04-18,10.5625,10.5625,48400
2000-04-19,10.71875,10.71875,70200
2000-04-20,10.40625,10.40625,70400
2000-04-24,10.375,10.375,10800
2000-04-25,10.4375,10.4375,22200
2000-04-26,10.1875,10.1875,29000
2000-04-27,10.1875,10.1875,34400
2000-04-28,10.34375,10.34375,204600
2000-05-01,10.5,10.5,64200
2000-05-02,10.4375,10.4375,21400
2000-05-03,10.5,10.5,79200
2000-05-04,10.6875,10.6875,52000
2000-05-05,10.9375,10.9375,33400
2000-05-08,11.03125,11.03125,245000
2000-05-09,11.09375,11.09375,26400
2000-05-10,11.15625,11.15625,101400
2000-05-11,11.15625,11.15625,47400
2000-05-12,11.59375,11.59375,60800
2000-05-15,12.25,12.25,50800
2000-05-16,12.3125,12.3125,277800
2000-05-17,12.0,12.0,106000
2000-05-18,11.625,11.625,73400
2000-05-19,11.59375,11.59375,5600
2000-05-22,11.5,11.5,13600
2000-05-23,11.25,11.25,29400
2000-05-24,11.125,11.125,45400
2000-05-25,11.0625,11.0625,300800
2000-05-26,10.9375,10.9375,15000
2000-05-30,10.8125,10.8125,56600
2000-05-31,11.0625,11.0625,46600
2000-06-01,10.84375,10.84375,56000
2000-06-02,10.875,10.875,65000
2000-06-05,10.5625,10.5625,50600
2000-06-06,10.4375,10.4375,26200
2000-06-07,10.5625,10.5625,23800
2000-06-08,10.4375,10.4375,23600
2000-06-09,10.5625,10.5625,63600
2000-06-12,10.78125,10.78125,48400
2000-06-13,10.6875,10.6875,81600
2000-06-14,10.40625,10.40625,89200
2000-06-15,10.03125,10.03125,67000
2000-06-16,10.0,10.0,93600
2000-06-19,10.125,10.125,22600
2000-06-20,10.15625,10.15625,87200
2000-06-21,10.3125,10.3125,88000
2000-06-22,10.3125,10.3125,45200
2000-06-23,10.28125,10.28125,22000
2000-06-26,10.375,10.375,26400
2000-06-27,10.3125,10.3125,26800
2000-06-28,10.5,10.5,29600
2000-06-29,10.40625,10.40625,23200
2000-06-30,10.617188453674316,10.617188453674316,181800
2000-07-03,10.625,10.625,44400
2000-07-05,10.5625,10.5625,34000
2000-07-06,10.6875,10.6875,98000
2000-07-07,10.59375,10.59375,97800
2000-07-10,10.53125,10.53125,40200
2000-07-11,10.625,10.625,155200
2000-07-12,10.90625,10.90625,56800
2000-07-13,11.25,11.25,72400
2000-07-14,11.375,11.375,58000
2000-07-17,11.28125,11.28125,17200
2000-07-18,11.1875,11.1875,42000
2000-07-19,11.1875,11.1875,237200
2000-07-20,11.40625,11.40625,63200
2000-07-21,11.25,11.25,48600
2000-07-24,10.875,10.875,66000
2000-07-25,11.0625,11.0625,47600
2000-07-26,11.3125,11.3125,30200
2000-07-27,11.15625,11.15625,44000
2000-07-28,11.0,11.0,20400
2000-07-31,11.15625,11.15625,61400
2000-08-01,11.34375,11.34375,128200
2000-08-02,11.375,11.375,38000
2000-08-03,11.40625,11.40625,163800
2000-08-04,11.40625,11.40625,21400
2000-08-07,11.5,11.5,28400
2000-08-08,11.5,11.5,14000
2000-08-09,11.46875,11.46875,42400
2000-08-10,11.5,11.5,26400
2000-08-11,11.8125,11.8125,32400
2000-08-14,11.75,11.75,44200
2000-08-15,11.65625,11.65625,8600
2000-08-16,11.71875,11.71875,41200
2000-08-17,11.6875,11.6875,12000
2000-08-18,11.53125,11.53125,28000
2000-08-21,11.59375,11.59375,40600
2000-08-22,11.65625,11.65625,19800
2000-08-23,11.6875,11.6875,12200
2000-08-24,11.65625,11.65625,7600
2000-08-25,11.78125,11.78125,9400
2000-08-28,11.875,11.875,12400
2000-08-29,11.9375,11.9375,28800
2000-08-30,11.75,11.75,17200
2000-08-31,11.78125,11.78125,28200
2000-09-01,12.0,12.0,72800
2000-09-05,11.875,11.875,18800
2000-09-06,11.8125,11.8125,17200
2000-09-07,11.96875,11.96875,10800
2000-09-08,11.84375,11.84375,36000
2000-09-11,11.75,11.75,109400
2000-09-12,11.5625,11.5625,26600
2000-09-13,11.5,11.5,11600
2000-09-14,11.5625,11.5625,277600
2000-09-15,11.6875,11.6875,58600
2000-09-18,11.375,11.375,116000
2000-09-19,11.3125,11.3125,72000
2000-09-20,11.34375,11.34375,23600
2000-09-21,10.34375,10.34375,211800
2000-09-22,10.5,10.5,18800
2000-09-25,10.0,10.0,20400
2000-09-26,9.625,9.625,94800
2000-09-27,9.625,9.625,124200
2000-09-28,9.96875,9.96875,42600
2000-09-29,9.8125,9.8125,98200
2000-10-02,9.78125,9.78125,74000
2000-10-03,9.78125,9.78125,40200
2000-10-04,9.625,9.625,90600
2000-10-05,9.4375,9.4375,24400
2000-10-06,8.875,8.875,201000
2000-10-09,9.125,9.125,298000
2000-10-10,9.28125,9.28125,239200
2000-10-11,9.25,9.25,220200
2000-10-12,9.21875,9.21875,98200
2000-10-13,9.5,9.5,79600
2000-10-16,9.28125,9.28125,302600
2000-10-17,9.03125,9.03125,67800
2000-10-18,8.84375,8.84375,118000
2000-10-19,9.03125,9.03125,32400
2000-10-20,9.21875,9.21875,15600
2000-10-23,9.3125,9.3125,59400
2000-10-24,9.1875,9.1875,587800
2000-10-25,9.25,9.25,204200
2000-10-26,9.15625,9.15625,63600
